ChathamIsland
NZ_DOE
43.92°S     176.50°W
16-sept-83  11-Oct-1996
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Jan         N           57          57          57          57          57          57          0           13          56
Jan         Mean        10.979      0.216       2.035       6.51        21.17       0.396       -999        2.171       0.095
Jan         StdDev      3.679       0.143       0.49        2.169       7.053       0.246       -999        1.063       0.057
Feb         N           56          56          56          56          56          56          0           13          55
Feb         Mean        9.979       0.274       1.921       5.875       19.105      0.442       -999        2.427       0.095
Feb         StdDev      3.942       0.192       0.633       2.137       6.949       0.316       -999        1.431       0.05
Mar         N           61          60          61          61          61          61          0           12          60
Mar         Mean        8.793       0.288       1.687       5.241       17.042      0.368       -999        1.44        0.097
Mar         StdDev      3.63        0.179       0.442       1.968       6.399       0.279       -999        0.991       0.098
Apr         N           60          60          60          60          60          60          0           14          59
Apr         Mean        10.373      0.341       1.863       6.09        19.803      0.33        -999        1.981       0.072
Apr         StdDev      4.675       0.212       0.599       2.505       8.146       0.31        -999        1.291       0.061
May         N           62          62          62          62          62          62          0           15          61
May         Mean        10.073      0.358       1.727       5.892       19.162      0.244       -999        1.054       0.075
May         StdDev      5.168       0.321       0.665       2.935       9.544       0.334       -999        0.66        0.098
Jun         N           55          54          55          55          55          55          0           9           54
Jun         Mean        10.447      0.26        1.685       6.001       19.515      0.175       -999        0.559       0.054
Jun         StdDev      4.726       0.198       0.622       2.574       8.369       0.191       -999        0.423       0.049
Jul         N           60          60          60          60          60          60          0           8           59
Jul         Mean        10.353      0.259       1.698       5.914       19.233      0.21        -999        0.679       0.051
Jul         StdDev      4.471       0.211       0.585       2.451       7.971       0.224       -999        0.491       0.053
Aug         N           61          61          61          61          61          61          0           10          60
Aug         Mean        12.258      0.23        1.932       6.97        22.668      0.178       -999        0.478       0.039
Aug         StdDev      5.155       0.179       0.665       2.804       9.12        0.227       -999        0.217       0.043
Sep         N           58          58          58          58          58          58          0           9           57
Sep         Mean        11.68       0.29        1.907       6.629       21.558      0.238       -999        1.101       0.051
Sep         StdDev      5.609       0.232       0.783       3.045       9.903       0.248       -999        0.52        0.058
Oct         N           60          60          60          60          60          60          0           10          59
Oct         Mean        11.233      0.227       1.868       6.419       20.874      0.253       -999        1.32        0.053
Oct         StdDev      4.767       0.137       0.63        2.628       8.545       0.251       -999        0.788       0.049
Nov         N           55          55          55          55          55          55          0           8           54
Nov         Mean        10.224      0.221       1.813       5.87        19.088      0.336       -999        1.763       0.06
Nov         StdDev      4.46        0.172       0.648       2.434       7.914       0.234       -999        1.303       0.038
Dec         N           57          57          57          57          57          57          0           10          56
Dec         Mean        9.913       0.184       1.837       5.715       18.586      0.399       -999        2.785       0.084
Dec         StdDev      3.635       0.133       0.499       2.013       6.547       0.267       -999        1.62        0.063
Ann         Mean        10.525      0.262       1.831       6.094       19.817      0.297       -999        1.48        0.069

Invercargill
NZ_DOE
46.43°S     168.35°E
22-avr-83   15-nov-96
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Jan         N           55          55          55          55          55          55          0           0           55
Jan         Mean        3.633       0.124       1.092       2.316       7.533       0.509       -999        -999        0.09
Jan         StdDev      1.831       0.07        0.306       1.012       3.29        0.278       -999        -999        0.061
Feb         N           50          50          50          50          50          50          0           0           50
Feb         Mean        3.727       0.125       1.093       2.333       7.588       0.506       -999        -999        0.088
Feb         StdDev      1.903       0.075       0.306       0.965       3.139       0.301       -999        -999        0.076
Mar         N           54          54          54          54          54          54          0           0           54
Mar         Mean        3.997       0.137       1.137       2.432       7.907       0.525       -999        -999        0.061
Mar         StdDev      1.9         0.101       0.77        0.982       3.195       0.791       -999        -999        0.06
Apr         N           57          56          57          57          57          57          0           0           57
Apr         Mean        3.416       0.134       0.917       2.082       6.769       0.393       -999        -999        0.045
Apr         StdDev      1.965       0.07        0.289       1.025       3.332       0.222       -999        -999        0.041
May         N           61          61          61          61          61          61          0           0           61
May         Mean        3.802       0.137       0.935       2.271       7.385       0.363       -999        -999        0.055
May         StdDev      1.776       0.087       0.244       0.958       3.116       0.219       -999        -999        0.074
Jun         N           54          54          54          54          54          54          0           0           54
Jun         Mean        3.155       0.173       0.94        1.905       6.195       0.46        -999        -999        0.102
Jun         StdDev      1.779       0.126       0.296       0.948       3.083       0.307       -999        -999        0.136
Jul         N           63          63          63          63          63          63          0           0           63
Jul         Mean        2.693       0.207       0.889       1.686       5.484       0.465       -999        -999        0.121
Jul         StdDev      1.946       0.159       0.325       1.065       3.464       0.289       -999        -999        0.159
Aug         N           58          57          58          58          58          58          0           0           58
Aug         Mean        2.882       0.203       0.853       1.808       5.88        0.398       -999        -999        0.088
Aug         StdDev      1.657       0.155       0.25        0.869       2.825       0.271       -999        -999        0.104
Sep         N           59          59          59          59          59          59          0           0           59
Sep         Mean        3.313       0.195       0.932       2.056       6.687       0.415       -999        -999        0.07
Sep         StdDev      1.904       0.121       0.294       0.999       3.25        0.256       -999        -999        0.073
Oct         N           61          61          61          61          61          61          0           0           61
Oct         Mean        4.049       0.13        0.936       2.444       7.947       0.321       -999        -999        0.045
Oct         StdDev      1.989       0.069       0.284       1.069       3.477       0.183       -999        -999        0.037
Nov         N           57          57          57          57          57          57          0           0           57
Nov         Mean        3.976       0.125       1.005       2.44        7.935       0.391       -999        -999        0.062
Nov         StdDev      1.952       0.075       0.308       1.011       3.288       0.226       -999        -999        0.05
