Aoba	-15.40	167.83	1395	477	1050	501	413	872	1527	1322	1678	1411	1057	1112	1008	1372	1067	33
Ambrym	-16.25	168.12	1334	1696	902	2185	2078	2607	3913	4168	2937	2441	1839	2603	2463	2420	2814	60
Ubinas	-16.34	-70.90	5400	0	196	115	66	46	11	8	3	7	223	115	48	29	0	49
Yasur	-19.53	169.44	280	232	283	272	554	302	653	583	533	681	561	664	953	764	625	844
Tofua	-19.75	-175.07	515	75	71	123	137	115	121	124	91	65	61	50	75	58	9	38
Reunuin	-21.23	55.71	2460	42	173	40	27	13	41	7	14	5	0	232	34	90	178	92
Lastarria	-25.17	-68.50	5697	96	87	91	77	99	79	79	124	86	78	104	55	44	73	94
White Island	-37.52	177.18	321	28	119	55	28	79	102	81	142	116	94	101	132	68	140	254
Villarrica	-39.42	-71.93	2847	130	123	117	53	61	182	151	44	5	37	115	124	115	45	74
Michael	-57.80	-26.49	990	137	86	74	101	75	90	86	84	83	88	73	43	93	77	61
Montagu	-58.42	-26.33	1370	155	174	50	32	12	42	0	10	14	42	41	0	32	6	10
Erebus	-77.53	167.17	3794	29	28	21	40	18	17	5	9	19	16	5	11	17	11	13
Spurr	61.30	-152.25	3374	38	60	22	17	86	34	35	1	0	13	1	14	0	31	26
Augustine	59.35	-153.45	1252	27	187	0	16	6	36	0	9	7	3	30	5	0	34	3
Shiveluch	56.64	161.34	3283	106	55	284	81	124	304	150	171	280	275	166	397	396	240	193
Padang	-0.39	100.46	2686	27	29	20	2	0	3	26	15	4	6	7	2	3	0	0
Sirung	-8.51	124.13	862	121	78	154	166	99	198	97	259	45	99	160	105	137	139	236
Erta Ale	13.60	40.67	613	17	16	32	25	19	11	21	11	25	13	27	32	569	198	59
Ketoy island	47.34	152.48	870	33	0	25	85	128	46	0	80	97	17	42	41	53	23	0
Sarychev	48.08	153.21	1200	44	50	39	74	334	238	63	43	14	0	39	23	38	26	43
Redoubt	60.49	-152.75	3108	0	23	31	4	1107	66	23	0	15	25	0	0	0	0	26
Kizimenk	55.12	160.36	2376	0	10	39	2	7	47	1851	441	554	155	7	61	245	52	9
Avachinsky	53.25	158.83	2741	138	138	69	150	639	176	271	111	120	589	156	0	121	109	146
Pagan	18.14	145.79	570	26	84	50	109	75	242	290	568	421	333	20	9	0	13	8
Mariveles	14.52	120.47	1388	21	18	26	18	19	25	36	21	22	41	51	45	38	22	41
Usulutan	13.42	-88.47	1449	18	0	0	9	0	1	24	15	42	150	77	99	26	31	15
Sinabung	3.17	98.39	2460	4	0	5	8	12	39	88	77	155	824	151	76	109	163	46
Krakatau	-6.11	105.42	813	32	26	43	112	114	103	224	275	92	46	59	68	50	169	102
Sangeang Api	-8.21	119.07	1949	0	0	0	0	0	0	13	0	13	134	68	0	31	24	26
Sabancaya	-15.80	-71.86	5967	0	0	0	7	2	4	5	12	20	86	176	170	331	376	330
Copahue	-37.86	-71.16	2800	12	18	1	26	13	4	63	213	426	250	229	350	187	162	111
Rinjani	-8.42	116.47	3726	0	0	0	0	105	37	0	0	0	0	105	6	5	28	8
Paluweh	-8.32	121.71	875	13	0	0	24	13	52	18	20	58	15	7	24	22	11	8
Ebulobo	-8.82	121.18	2124	0	7	6	36	45	71	30	28	24	12	22	24	11	26	16
Isluga	-19.15	-68.83	5550	12	0	4	6	9	0	9	46	96	69	46	44	30	2	10
Nishinoshima	27.25	140.87	38	0	0	0	7	0	0	63	2	0	405	314	3	151	0	54
Arenal	10.46	-84.70	1670	75	47	29	25	102	365	106	12	68	67	37	0	241	142	95
Sierra Negra	-0.83	-91.17	1124	10	6	26	15	4	19	18	6	10	15	1	32	25	105	0
Pavlof	55.41	-161.89	2490	19	0	21	0	60	43	13	16	106	71	0	280	132	90	145
Sangay	-2.00	-78.34	5286	10	57	34	24	7	10	36	19	6	10	42	26	1	5	109
Kadovar	-3.61	144.59	370	530	232	309	254	131	264	228	229	170	135	221	218	267	220	592
Agung	-8.34	115.51	2800	0	6	0	0	0	12	0	0	4	0	83	0	24	106	2
Arjuno-Welirang	-7.73	112.58	3339	74	108	122	173	130	214	117	69	46	100	193	172	89	99	72
